generating_rate,sampling_rate,sampling_strategy,sampling_size,dtar_true,var_asymptotic,ctar_hat,dtar_true_hat,bias,converged,status_code
24,672,equal,100,0.05,0.25,-2.3378494417473346,0.9198960330129153,0.8698960330129153,1,0
24,672,equal,100,0.05,0.25,-2.7533556325522954,0.9063460160015887,0.8563460160015887,1,0
24,672,equal,100,0.05,0.25,-16.886586338725646,0.5471171292426816,0.49711712924268164,0,5
24,672,equal,100,0.05,0.25,-24.011271429660216,0.42420204831802266,0.3742020483180227,1,0
24,672,equal,100,0.05,0.25,-2.0627612574767205,0.9289781643516898,0.8789781643516897,1,0
24,672,equal,100,0.05,0.25,-23.22798758627213,0.43623639804240644,0.38623639804240645,1,0
24,672,equal,100,0.05,0.25,-6.090572477710668,0.8045111560122171,0.7545111560122171,1,0
24,672,equal,100,0.05,0.25,-15.428233428996588,0.5763683438901271,0.5263683438901271,1,0
24,672,equal,100,0.05,0.25,-2.0190528513746426,0.9304294451803213,0.8804294451803213,1,0
24,672,equal,100,0.05,0.25,-20.97403196917268,0.4728048427084231,0.4228048427084231,1,0
24,672,equal,100,0.05,0.25,-3.6493718116607488,0.8778015749226897,0.8278015749226897,1,0
24,672,equal,100,0.05,0.25,-2.648298852747513,0.9097530391214103,0.8597530391214102,1,0
24,672,equal,100,0.05,0.25,-2.7609946915923134,0.9060987772034425,0.8560987772034424,1,0
24,672,equal,100,0.05,0.25,-21.806919493686067,0.4589479136047816,0.4089479136047816,0,5
24,672,equal,100,0.05,0.25,-22.63494073646632,0.4455745345900885,0.3955745345900885,0,5
24,672,equal,100,0.05,0.25,-3.930910234054989,0.8690195548929467,0.8190195548929466,1,0
24,672,equal,100,0.05,0.25,-3.445287683827429,0.8842229973524174,0.8342229973524173,1,0
24,672,equal,100,0.05,0.25,-3.44894849786166,0.8841073986252472,0.8341073986252472,1,0
24,672,equal,100,0.05,0.25,-2.319656545934071,0.9204939262558943,0.8704939262558943,1,0
24,672,equal,100,0.05,0.25,-22.953964466007793,0.44052660188959936,0.39052660188959937,0,5
24,672,equal,100,0.05,0.25,-20.232212235624914,0.4854985351688849,0.4354985351688849,1,0
24,672,equal,100,0.05,0.25,-1.9772774151083947,0.9318186632648762,0.8818186632648761,1,0
24,672,equal,100,0.05,0.25,-2.4875039657896436,0.9149924845475065,0.8649924845475064,1,0
24,672,equal,100,0.05,0.25,-3.7487754084323583,0.8746907916799835,0.8246907916799835,1,0
24,672,equal,100,0.05,0.25,-1.7338299924117897,0.9399557307922091,0.889955730792209,1,0
24,672,equal,100,0.05,0.25,-23.40497526877346,0.43348764927402544,0.38348764927402545,0,5
24,672,equal,100,0.05,0.25,-2.2123792279282206,0.9240274094674754,0.8740274094674754,1,0
24,672,equal,100,0.05,0.25,-2.1789368650129117,0.9251316995149642,0.8751316995149642,1,0
24,672,equal,100,0.05,0.25,-3.675377805666206,0.8769866640451383,0.8269866640451382,1,0
24,672,equal,100,0.05,0.25,-6.000367844203358,0.8071071437327292,0.7571071437327291,1,0
24,672,equal,100,0.05,0.25,-1.5120252967845103,0.947431250538405,0.897431250538405,1,0
24,672,equal,100,0.05,0.25,-1.7789685098537853,0.9384416583823564,0.8884416583823563,1,0
24,672,equal,100,0.05,0.25,-15.872936102451524,0.5672866343210086,0.5172866343210085,0,5
24,672,equal,100,0.05,0.25,-3.2727840860414923,0.8896873715110977,0.8396873715110976,1,0
24,672,equal,100,0.05,0.25,-2.620150049280272,0.9106680868390271,0.8606680868390271,1,0
24,672,equal,100,0.05,0.25,-24.317915537610823,0.4195817137999146,0.3695817137999146,1,0
24,672,equal,100,0.05,0.25,-24.492617982110666,0.41697193712761954,0.36697193712761955,1,0
24,672,equal,100,0.05,0.25,-22.225944930165852,0.45213080586661375,0.40213080586661376,0,5
24,672,equal,100,0.05,0.25,-25.617681684286577,0.400549789034687,0.35054978903468703,1,0
24,672,equal,100,0.05,0.25,-2.9469809250079106,0.9001000827811342,0.8501000827811341,1,0
24,672,equal,100,0.05,0.25,-2.5506848986001334,0.9129301665261184,0.8629301665261183,1,0
24,672,equal,100,0.05,0.25,-22.39754886422012,0.4493683003497003,0.39936830034970033,0,5
24,672,equal,100,0.05,0.25,-20.53776373417194,0.4802293090659875,0.4302293090659875,0,5
24,672,equal,100,0.05,0.25,-2.7561040579502656,0.9062570552102787,0.8562570552102786,1,0
24,672,equal,100,0.05,0.25,-2.0499414917878203,0.9294035932494897,0.8794035932494897,1,0
